Modelo,mse_mean,mse_std
Persist 10min,2.782737,3.832686
predict_10min,6.3398643,7.0908847
Persist 20min,7.221677,10.459597
predict_20min,3.3034492,3.7305229
Persist 30min,6.130912,4.599903
predict_30min,2.6815262,2.7651906
Persist 40min,9.431315,7.720286
predict_40min,23.236498,87.563515
Persist 50min,12.200882,8.331809
predict_50min,8.019013,7.533736
Persist 60min,12.20542,9.053231
predict_60min,5.117239,6.0539823
