Modelo,rmse_mean,rmse_std
Persist 10min,1.4384841,0.84468937
predict_10min,2.2276847,1.173578
Persist 20min,2.3302093,1.338582
predict_20min,1.6217968,0.82050234
Persist 30min,2.3510697,0.7767779
predict_30min,1.4966098,0.66459423
Persist 40min,2.847405,1.150479
predict_40min,2.588139,4.0666986
Persist 50min,3.316779,1.0953808
predict_50min,2.5806966,1.1657698
Persist 60min,3.2549577,1.2691219
predict_60min,2.0116713,1.0346104
