Modelo,correlation_pearsonr_mean,correlation_pearsonr_std
Persist 10min,0.7433726,0.12897556
predict_10min,0.7875293,0.10485441
Persist 20min,0.41465205,0.21380726
predict_20min,0.5202442,0.1627323
Persist 30min,0.20443457,0.24022497
predict_30min,0.5699435,0.20475362
Persist 40min,0.14129037,0.1647869
predict_40min,0.60672504,0.20642719
Persist 50min,0.015514654,0.23489702
predict_50min,0.1945767,0.19580367
Persist 60min,-0.07275724,0.11696111
predict_60min,0.4588422,0.30101028
