Modelo,ssim_mean,ssim_std
Persist 10min,0.6356316050375552,0.1393062686386512
predict_10min,0.6246704712688799,0.153776168501975
Persist 20min,0.350726809015525,0.1967780116307575
predict_20min,0.42404764970532716,0.1466680192068561
Persist 30min,0.17877476788702015,0.16687660479593858
predict_30min,0.4085253034920645,0.171155393490916
Persist 40min,0.21347453259683075,0.12537303320299076
predict_40min,0.4304222095029046,0.1894502728509041
Persist 50min,0.11244737724136748,0.1636520993319373
predict_50min,0.1585069104177909,0.11731883088582407
Persist 60min,0.06407929832232952,0.10550280728331803
predict_60min,0.3421971159507409,0.1821468728186801
