Modelo,mae_mean,mae_std
Persist 10min,0.6834721,0.46450153
predict_10min,0.82534903,0.46647
Persist 20min,1.1314394,0.7925118
predict_20min,0.8813492,0.6257539
Persist 30min,1.2901443,0.57403684
predict_30min,0.8195953,0.41483572
Persist 40min,1.4276472,0.72363716
predict_40min,1.1091266,1.377804
Persist 50min,1.8393768,0.6601183
predict_50min,1.3967546,0.5854513
Persist 60min,1.6997116,0.5306722
predict_60min,1.0334125,0.43934682
