Modelo,r2_mean,r2_std
Persist 10min,0.5692377,0.17709719
predict_10min,0.6311968,0.15573998
Persist 20min,0.21764989,0.18850616
predict_20min,0.2971358,0.15526511
Persist 30min,0.09950154,0.113736086
predict_30min,0.36675963,0.21457966
Persist 40min,0.04711768,0.08172484
predict_40min,0.41072744,0.20657192
Persist 50min,0.05541732,0.08169694
predict_50min,0.076199174,0.09712691
Persist 60min,0.018973516,0.028701207
predict_60min,0.30114335,0.24146861
