Modelo,mse_mean,mse_std
Persist 10min,2.782737,3.832686
predict_10min,2.557826,2.8349159
Persist 20min,7.221677,10.459597
predict_20min,2.8716705,3.2004383
Persist 30min,6.130912,4.599903
predict_30min,3.10279,3.0047996
Persist 40min,9.431315,7.720286
predict_40min,3.940202,3.7821393
Persist 50min,12.200882,8.331809
predict_50min,4.9226933,4.0924525
Persist 60min,12.20542,9.053231
predict_60min,5.095575,6.4013996
