Modelo,ssim_mean,ssim_std
Persist 10min,0.6356316050375552,0.1393062686386512
predict_10min,0.7027848498087911,0.13723189460771235
Persist 20min,0.350726809015525,0.1967780116307575
predict_20min,0.4624651271385991,0.15231336233320397
Persist 30min,0.17877476788702015,0.16687660479593858
predict_30min,0.34189627603641287,0.13802363554902783
Persist 40min,0.21347453259683075,0.12537303320299076
predict_40min,0.466998711664853,0.1872713570400709
Persist 50min,0.11244737724136748,0.1636520993319373
predict_50min,0.4157904213022536,0.15847132336207467
Persist 60min,0.06407929832232952,0.10550280728331803
predict_60min,0.5072512843595546,0.1821322172059587
