Modelo,mae_mean,mae_std
Persist 10min,0.6834721,0.46450153
predict_10min,0.6565532,0.4288937
Persist 20min,1.1314394,0.7925118
predict_20min,0.78196627,0.49267104
Persist 30min,1.2901443,0.57403684
predict_30min,0.87398547,0.39562288
Persist 40min,1.4276472,0.72363716
predict_40min,0.8435707,0.45450038
Persist 50min,1.8393768,0.6601183
predict_50min,1.0552124,0.49822176
Persist 60min,1.6997116,0.5306722
predict_60min,0.877046,0.4385314
