Modelo,r2_mean,r2_std
Persist 10min,0.5692377,0.17709719
predict_10min,0.6845274,0.14995058
Persist 20min,0.21764989,0.18850616
predict_20min,0.35109717,0.17145468
Persist 30min,0.09950154,0.113736086
predict_30min,0.2690639,0.16631538
Persist 40min,0.04711768,0.08172484
predict_40min,0.36828667,0.22435428
Persist 50min,0.05541732,0.08169694
predict_50min,0.37083453,0.23329228
Persist 60min,0.018973516,0.028701207
predict_60min,0.45223826,0.2554159
