Modelo,rmse_mean,rmse_std
Persist 10min,1.4384841,0.84468937
predict_10min,1.4262404,0.72364706
Persist 20min,2.3302093,1.338582
predict_20min,1.5256538,0.7375981
Persist 30min,2.3510697,0.7767779
predict_30min,1.6188618,0.69431746
Persist 40min,2.847405,1.150479
predict_40min,1.7716439,0.89525425
Persist 50min,3.316779,1.0953808
predict_50min,2.0602279,0.8235015
Persist 60min,3.2549577,1.2691219
predict_60min,1.9113846,1.2009099
