Modelo,correlation_pearsonr_mean,correlation_pearsonr_std
Persist 10min,0.7433726,0.12897556
predict_10min,0.82164425,0.097097896
Persist 20min,0.41465205,0.21380726
predict_20min,0.5681983,0.16807093
Persist 30min,0.20443457,0.24022497
predict_30min,0.48720297,0.178037
Persist 40min,0.14129037,0.1647869
predict_40min,0.5672702,0.21561815
Persist 50min,0.015514654,0.23489702
predict_50min,0.57712394,0.19432561
Persist 60min,-0.07275724,0.11696111
predict_60min,0.6363525,0.21747139
