Modelo,r2_mean,r2_std
Persist 10min,0.5692377,0.17709719
predict_10min,0.691119,0.15173723
Persist 20min,0.21764989,0.18850616
predict_20min,0.36747465,0.18124598
Persist 30min,0.09950154,0.113736086
predict_30min,0.2674182,0.16391008
Persist 40min,0.04711768,0.08172484
predict_40min,0.31469938,0.23975904
Persist 50min,0.05541732,0.08169694
predict_50min,0.298962,0.24259806
Persist 60min,0.018973516,0.028701207
predict_60min,0.48006523,0.24909338
