Modelo,mae_mean,mae_std
Persist 10min,0.6834721,0.46450153
predict_10min,0.64188343,0.46256077
Persist 20min,1.1314394,0.7925118
predict_20min,0.76245356,0.49951348
Persist 30min,1.2901443,0.57403684
predict_30min,0.8653099,0.42901066
Persist 40min,1.4276472,0.72363716
predict_40min,0.9076772,0.51184416
Persist 50min,1.8393768,0.6601183
predict_50min,1.1348186,0.49317443
Persist 60min,1.6997116,0.5306722
predict_60min,0.8642734,0.46263623
