Modelo,rmse_mean,rmse_std
Persist 10min,1.4384841,0.84468937
predict_10min,1.3817493,0.84783524
Persist 20min,2.3302093,1.338582
predict_20min,1.4980891,0.74900943
Persist 30min,2.3510697,0.7767779
predict_30min,1.6362851,0.7338037
Persist 40min,2.847405,1.150479
predict_40min,1.9367483,1.172319
Persist 50min,3.316779,1.0953808
predict_50min,2.213597,0.86644715
Persist 60min,3.2549577,1.2691219
predict_60min,1.8333619,1.2017882
