Modelo,ssim_mean,ssim_std
Persist 10min,0.6356316050375552,0.1393062686386512
predict_10min,0.7151267554806171,0.14541346165513788
Persist 20min,0.350726809015525,0.1967780116307575
predict_20min,0.4913359512458893,0.15320937710785534
Persist 30min,0.17877476788702015,0.16687660479593858
predict_30min,0.33188417416837507,0.14031984560057975
Persist 40min,0.21347453259683075,0.12537303320299076
predict_40min,0.43070096258326485,0.20111539730949196
Persist 50min,0.11244737724136748,0.1636520993319373
predict_50min,0.36417380548841144,0.15002816118953766
Persist 60min,0.06407929832232952,0.10550280728331803
predict_60min,0.5011017247196835,0.19443177914470672
