Modelo,mse_mean,mse_std
Persist 10min,2.782737,3.832686
predict_10min,2.6280556,3.6323407
Persist 20min,7.221677,10.459597
predict_20min,2.805286,3.3966956
Persist 30min,6.130912,4.599903
predict_30min,3.215897,3.2351897
Persist 40min,9.431315,7.720286
predict_40min,5.1253257,6.5643334
Persist 50min,12.200882,8.331809
predict_50min,5.650743,4.4122944
Persist 60min,12.20542,9.053231
predict_60min,4.80551,6.5980473
