Modelo,correlation_pearsonr_mean,correlation_pearsonr_std
Persist 10min,0.7433726,0.12897556
predict_10min,0.8255413,0.09798345
Persist 20min,0.41465205,0.21380726
predict_20min,0.58373654,0.16348201
Persist 30min,0.20443457,0.24022497
predict_30min,0.48219445,0.18683344
Persist 40min,0.14129037,0.1647869
predict_40min,0.50555676,0.24312899
Persist 50min,0.015514654,0.23489702
predict_50min,0.50217664,0.2162882
Persist 60min,-0.07275724,0.11696111
predict_60min,0.65216464,0.23397978
