hist_losses
0.0005085050355081701
7.172103940412317e-05
6.46255081804943e-05
6.319049273374222e-05
3.6293774118638955e-05
6.011559255629918e-05
3.0396272543707995e-05
3.1301736167027285e-05
2.029620542344486e-05
2.084372602669092e-05
2.469693417224578e-05
2.1181457472759316e-05
1.76495292752578e-05
2.4797825779369956e-05
1.802581064568933e-05
1.8198928491335105e-05
1.5205665666115871e-05
2.1229655800767823e-05
2.4968715140133413e-05
2.522837499486502e-05
1.5162196951731931e-05
1.0722060698540065e-05
1.9738345363016326e-05
1.1109202480346002e-05
1.817033765154769e-05
1.2520825605681523e-05
1.0110500613853497e-05
1.0199397902059858e-05
1.1997416918989448e-05
9.247982501534272e-06
1.0925239985426835e-05
8.229125079769711e-06
1.2852943191667963e-05
1.3848750934358734e-05
9.216637632933081e-06
1.4708001158140274e-05
1.221906813523332e-05
6.165396707734381e-06
8.302327497053683e-06
1.1873630617517123e-05
1.2949291619950265e-05
9.468928977600706e-06
1.205168928108545e-05
1.0125991389313417e-05
7.673265710476517e-06
1.2397851525303742e-05
6.023484409357914e-06
1.0820957644399653e-05
1.3372565916928609e-05
8.925165342065128e-06
